account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0001,1874.0,681.0,voter,0,0.0,0.0,0
node_0002,4062.0,3877.77,voter,0,727.77,0.0,0
node_0003,8985.0,14576.61,voter,11,3644.61,0.0,0
node_0004,570.0,5.48,voter,0,5.48,0.0,0
node_0005,3861.0,4468.33,voter,0,716.33,0.0,0
node_0006,9245.0,7965.25,voter,0,1954.25,0.0,0
node_0007,3661.0,4157.42,voter,0,558.42,0.0,0
node_0008,156.0,794.32,voter,0,68.32,0.0,0
node_0009,6974.0,7777.71,voter,0,2204.71,0.0,0
node_0010,3577.0,4507.32,CBP,0,923.32,0.0,0
node_0011,1724.0,158.0,voter,0,0.0,0.0,0
node_0012,5931.0,6191.59,voter,0,1160.59,0.0,0
node_0013,761.0,1619.0,voter,0,0.0,0.0,0
node_0014,6251.0,7992.21,voter,10,2144.21,0.0,0
node_0015,5975.0,5140.06,voter,0,129.06,0.0,0
node_0016,800.0,263.54,voter,0,40.54,0.0,0
node_0017,1357.0,1016.68,voter,0,61.68,0.0,0
node_0018,6277.0,5456.18,CBP,0,1917.18,0.0,0
node_0019,2714.0,1873.49,voter,0,219.49,0.0,0
node_0020,4424.0,6561.49,voter,0,312.49,0.0,0
node_0021,2853.0,3155.11,voter,10,1915.11,0.0,0
node_0022,2727.0,73.0,voter,0,0.0,0.0,0
node_0023,9175.0,8298.04,CBP,0,803.04,0.0,0
node_0024,966.0,409.39,voter,0,59.39,0.0,0
node_0025,5218.0,4406.19,voter,0,689.19,0.0,0
node_0026,3506.0,2615.0,voter,0,0.0,0.0,0
node_0027,3533.0,1318.0,voter,0,0.0,0.0,0
node_0028,7567.0,9404.58,voter,0,2667.58,0.0,0
node_0029,4090.0,4072.48,voter,0,677.48,0.0,0
node_0030,9627.0,15148.21,voter,0,3885.21,0.0,0
node_0031,5980.0,3755.64,voter,0,748.64,0.0,0
node_0032,8398.0,6963.65,voter,0,825.65,0.0,0
node_0033,1846.0,1714.23,voter,0,290.23,0.0,0
node_0034,6966.0,6853.02,voter,1,846.94,752.92,1
node_0035,6302.0,5773.63,voter,0,1735.63,0.0,0
node_0036,8719.0,11707.63,voter,10,3135.63,0.0,0
node_0037,1926.0,1120.88,voter,0,62.88,0.0,0
node_0038,5623.0,7365.69,voter,0,1764.69,0.0,0
node_0039,2641.0,4966.63,voter,0,686.63,0.0,0
node_0040,8251.0,12040.55,voter,0,4376.55,0.0,0
node_0041,4939.0,3102.38,voter,0,1345.38,0.0,0
node_0042,2554.0,239.0,voter,0,0.0,0.0,0
node_0043,8887.0,9857.71,voter,9,4303.71,0.0,1
node_0044,9863.0,11196.17,voter,0,2596.17,0.0,0
node_0045,1882.0,814.0,voter,0,0.0,0.0,0
node_0046,3973.0,3391.32,voter,4,705.32,0.0,1
node_0047,1453.0,468.84,voter,0,42.84,0.0,0
node_0048,8777.0,10643.11,voter,13,3269.59,933.48,1
node_0049,7837.0,11125.62,BP,7,2171.62,0.0,0
node_0050,4392.0,6750.78,voter,0,221.78,0.0,0
node_0051,3520.0,1831.74,voter,0,406.74,0.0,0
node_0052,5157.0,5259.83,voter,0,606.83,0.0,0
node_0053,7227.0,7176.0,voter,0,1220.0,0.0,0
node_0054,2032.0,1077.43,voter,0,111.43,0.0,0
