Election_ID,Block_id,node,type,slashing_pct,cooldown_rounds,promoted_backup
1,block_0028,node_0447,PDDPoS,0,0,node_0374
1,block_0064,node_0440,PDDPoS,0,0,node_0173
1,block_0113,node_0390,PDDPoS,10,5,node_0201
1,block_0141,node_0326,PDDPoS,10,5,node_0049
1,block_0144,node_0173,PDDPoS,0,0,node_0451
1,block_0155,node_0352,PDDPoS,10,5,node_0344
1,block_0179,node_0442,PDDPoS,0,0,node_0386
2,block_0202,node_0415,PDDPoS,10,5,node_0043
2,block_0216,node_0201,PDDPoS,10,5,node_0048
2,block_0255,node_0149,PDDPoS,0,0,node_0021
2,block_0259,node_0160,PDDPoS,10,5,node_0409
2,block_0285,node_0457,PDDPoS,10,5,node_0220
2,block_0297,node_0282,PDDPoS,0,0,node_0214
2,block_0311,node_0067,PDDPoS,10,5,node_0488
2,block_0326,node_0365,PDDPoS,0,0,node_0307
2,block_0339,node_0409,PDDPoS,10,5,node_0239
2,block_0375,node_0021,PDDPoS,10,5,node_0044
2,block_0394,node_0046,PDDPoS,0,0,node_0440
3,block_0412,node_0129,PDDPoS,10,5,node_0461
3,block_0425,node_0287,PDDPoS,0,0,node_0229
3,block_0430,node_0318,PDDPoS,0,0,node_0280
3,block_0514,node_0138,PDDPoS,0,0,node_0495
3,block_0535,node_0440,PDDPoS,0,0,node_0175
3,block_0546,node_0330,PDDPoS,10,5,node_0350
3,block_0553,node_0207,PDDPoS,0,0,node_0102
3,block_0554,node_0495,PDDPoS,10,5,node_0448
3,block_0565,node_0229,PDDPoS,0,0,node_0223
3,block_0573,node_0102,PDDPoS,10,5,node_0465
4,block_0656,node_0048,PDDPoS,0,0,node_0277
4,block_0678,node_0014,PDDPoS,0,0,node_0488
4,block_0701,node_0097,PDDPoS,10,5,node_0447
4,block_0703,node_0108,PDDPoS,10,5,node_0228
4,block_0722,node_0221,PDDPoS,10,5,node_0415
4,block_0723,node_0228,PDDPoS,10,5,node_0219
4,block_0742,node_0415,PDDPoS,0,0,node_0375
4,block_0765,node_0238,PDDPoS,10,5,node_0343
4,block_0785,node_0343,PDDPoS,0,0,node_0434
5,block_0811,node_0107,PDDPoS,10,5,node_0154
5,block_0822,node_0493,PDDPoS,10,5,node_0448
5,block_0827,node_0119,PDDPoS,0,0,node_0333
5,block_0833,node_0141,PDDPoS,0,0,node_0466
5,block_0835,node_0341,PDDPoS,10,5,node_0324
5,block_0867,node_0333,PDDPoS,0,0,node_0344
5,block_0881,node_0294,PDDPoS,10,5,node_0407
5,block_0897,node_0449,PDDPoS,10,5,node_0307
1,block_0028,node_0097,DPoS,0,0,node_0374
1,block_0064,node_0397,DPoS,0,0,node_0173
1,block_0113,node_0390,DPoS,10,5,node_0201
1,block_0141,node_0463,DPoS,10,5,node_0049
1,block_0144,node_0173,DPoS,0,0,node_0451
1,block_0155,node_0352,DPoS,10,5,node_0344
1,block_0179,node_0442,DPoS,0,0,node_0386
2,block_0202,node_0138,DPoS,10,5,node_0290
2,block_0216,node_0365,DPoS,10,5,node_0021
2,block_0255,node_0080,DPoS,0,0,node_0048
2,block_0259,node_0067,DPoS,10,5,node_0409
2,block_0285,node_0489,DPoS,10,5,node_0220
2,block_0297,node_0046,DPoS,0,0,node_0214
2,block_0311,node_0262,DPoS,10,5,node_0440
2,block_0326,node_0107,DPoS,0,0,node_0307
2,block_0339,node_0409,DPoS,10,5,node_0488
2,block_0375,node_0048,DPoS,10,5,node_0239
2,block_0394,node_0043,DPoS,0,0,node_0499
3,block_0412,node_0034,DPoS,10,5,node_0229
3,block_0425,node_0358,DPoS,0,0,node_0175
3,block_0430,node_0207,DPoS,0,0,node_0461
3,block_0514,node_0287,DPoS,0,0,node_0350
3,block_0535,node_0129,DPoS,0,0,node_0280
3,block_0546,node_0138,DPoS,10,5,node_0495
3,block_0553,node_0262,DPoS,0,0,node_0102
3,block_0554,node_0350,DPoS,10,5,node_0448
3,block_0565,node_0175,DPoS,0,0,node_0465
3,block_0573,node_0102,DPoS,10,5,node_0223
4,block_0656,node_0368,DPoS,0,0,node_0048
4,block_0678,node_0221,DPoS,0,0,node_0283
4,block_0701,node_0480,DPoS,10,5,node_0415
4,block_0703,node_0327,DPoS,10,5,node_0261
4,block_0722,node_0277,DPoS,10,5,node_0219
4,block_0723,node_0261,DPoS,10,5,node_0167
4,block_0742,node_0219,DPoS,0,0,node_0228
4,block_0765,node_0108,DPoS,10,5,node_0343
4,block_0785,node_0343,DPoS,0,0,node_0375
5,block_0811,node_0183,DPoS,10,5,node_0239
5,block_0822,node_0107,DPoS,10,5,node_0333
5,block_0827,node_0171,DPoS,0,0,node_0466
5,block_0833,node_0493,DPoS,0,0,node_0324
5,block_0835,node_0488,DPoS,10,5,node_0449
5,block_0867,node_0466,DPoS,0,0,node_0407
5,block_0881,node_0294,DPoS,10,5,node_0344
5,block_0897,node_0119,DPoS,10,5,node_0282
