Reward_dist_id,Block_id,type,account_id,self.stake,pd_reward_stake,closing_stake,remarks
1,block_0001,PDDPoS,node_0431,8599.0,41.92,8640.92,voter pd share
2,block_0001,PDDPoS,node_0467,5714.0,28.94,5742.94,voter pd share
3,block_0001,PDDPoS,node_0377,8638.0,82.66,8720.66,voter pd share
4,block_0001,PDDPoS,node_0129,6375.0,61.19,6436.19,voter pd share
5,block_0001,PDDPoS,node_0177,7614.0,81.46,7695.46,voter pd share
6,block_0001,PDDPoS,node_0280,8411.0,107.07,8518.07,voter pd share
7,block_0001,PDDPoS,node_0326,3818.0,143.74,3961.74,self 20% + leftover
8,block_0002,PDDPoS,node_0299,2568.0,18.32,2586.32,voter pd share
9,block_0002,PDDPoS,node_0287,9689.0,82.91,9771.91,voter pd share
10,block_0002,PDDPoS,node_0174,2077.0,19.51,2096.51,voter pd share
11,block_0002,PDDPoS,node_0044,9951.0,91.21,10042.21,voter pd share
12,block_0002,PDDPoS,node_0106,8984.0,89.14,9073.14,voter pd share
13,block_0002,PDDPoS,node_0214,7812.0,117.83,7929.83,voter pd share
14,block_0002,PDDPoS,node_0397,5806.0,202.08,6008.08,self 20% + leftover
15,block_0003,PDDPoS,node_0460,5492.0,39.94,5531.94,voter pd share
16,block_0003,PDDPoS,node_0219,7031.0,64.12,7095.12,voter pd share
17,block_0003,PDDPoS,node_0189,10001.0,103.99,10104.99,voter pd share
18,block_0003,PDDPoS,node_0119,5798.0,63.1,5861.1,voter pd share
19,block_0003,PDDPoS,node_0055,5641.0,68.8,5709.8,voter pd share
20,block_0003,PDDPoS,node_0148,7488.0,93.21,7581.21,voter pd share
21,block_0003,PDDPoS,node_0463,5123.0,171.85,5294.85,self 20% + leftover
22,block_0004,PDDPoS,node_0409,2760.0,14.24,2774.24,voter pd share
23,block_0004,PDDPoS,node_0318,9512.0,56.25,9568.25,voter pd share
24,block_0004,PDDPoS,node_0356,7413.0,53.33,7466.33,voter pd share
25,block_0004,PDDPoS,node_0211,9275.0,108.26,9383.26,voter pd share
26,block_0004,PDDPoS,node_0295,8306.0,98.71,8404.71,voter pd share
27,block_0004,PDDPoS,node_0440,9236.0,197.21,9433.21,self 20% + leftover
28,block_0005,PDDPoS,node_0257,7063.0,63.22,7126.22,voter pd share
29,block_0005,PDDPoS,node_0407,1453.0,18.22,1471.22,voter pd share
30,block_0005,PDDPoS,node_0302,5205.0,65.04,5270.04,voter pd share
31,block_0005,PDDPoS,node_0128,7128.0,99.21,7227.21,voter pd share
32,block_0005,PDDPoS,node_0115,6949.0,99.21,7048.21,voter pd share
33,block_0005,PDDPoS,node_0212,1545.0,22.19,1567.19,voter pd share
34,block_0005,PDDPoS,node_0147,7773.0,129.34,7902.34,voter pd share
35,block_0005,PDDPoS,node_0097,9108.0,279.56,9387.56,self 20% + leftover
36,block_0006,PDDPoS,node_0127,5969.0,41.42,6010.42,voter pd share
37,block_0006,PDDPoS,node_0325,9995.0,85.32,10080.32,voter pd share
38,block_0006,PDDPoS,node_0283,3338.0,34.08,3372.08,voter pd share
39,block_0006,PDDPoS,node_0155,8839.0,116.71,8955.71,voter pd share
40,block_0006,PDDPoS,node_0373,8684.0,161.62,8845.62,voter pd share
41,block_0006,PDDPoS,node_0157,8908.0,255.85,9163.85,self 20% + leftover
42,block_0007,PDDPoS,node_0168,9602.0,73.89,9675.89,voter pd share
43,block_0007,PDDPoS,node_0099,3446.0,26.38,3472.38,voter pd share
44,block_0007,PDDPoS,node_0449,7432.0,63.36,7495.36,voter pd share
45,block_0007,PDDPoS,node_0327,3661.0,55.06,3716.06,voter pd share
46,block_0007,PDDPoS,node_0334,8758.0,173.02,8931.02,voter pd share
47,block_0007,PDDPoS,node_0350,1627.0,34.45,1661.45,voter pd share
48,block_0007,PDDPoS,node_0003,9071.0,274.84,9345.84,self 20% + leftover
49,block_0008,PDDPoS,node_0126,679.0,7.46,686.46,voter pd share
50,block_0008,PDDPoS,node_0193,6560.0,75.76,6635.76,voter pd share
51,block_0008,PDDPoS,node_0134,5002.0,59.27,5061.27,voter pd share
52,block_0008,PDDPoS,node_0389,6717.0,92.55,6809.55,voter pd share
53,block_0008,PDDPoS,node_0207,7443.0,110.48,7553.48,voter pd share
54,block_0008,PDDPoS,node_0087,4050.0,57.09,4107.09,voter pd share
55,block_0008,PDDPoS,node_0382,2015.0,44.84,2059.84,voter pd share
56,block_0008,PDDPoS,node_0447,9667.0,329.53,9996.53,self 20% + leftover
57,block_0009,PDDPoS,node_0454,7120.0,65.39,7185.39,voter pd share
58,block_0009,PDDPoS,node_0479,7372.0,79.25,7451.25,voter pd share
59,block_0009,PDDPoS,node_0446,4698.0,51.12,4749.12,voter pd share
60,block_0009,PDDPoS,node_0064,955.0,10.24,965.24,voter pd share
61,block_0009,PDDPoS,node_0357,5993.0,116.42,6109.42,voter pd share
62,block_0009,PDDPoS,node_0178,6326.0,134.68,6460.68,voter pd share
63,block_0009,PDDPoS,node_0192,9501.0,319.9,9820.9,self 20% + leftover
64,block_0010,PDDPoS,node_0399,1949.0,20.54,1969.54,voter pd share
65,block_0010,PDDPoS,node_0090,1183.0,15.09,1198.09,voter pd share
66,block_0010,PDDPoS,node_0035,6426.0,84.53,6510.53,voter pd share
67,block_0010,PDDPoS,node_0056,9707.0,141.68,9848.68,voter pd share
68,block_0010,PDDPoS,node_0038,5622.0,95.03,5717.03,voter pd share
69,block_0010,PDDPoS,node_0231,9475.0,161.06,9636.06,voter pd share
70,block_0010,PDDPoS,node_0494,7708.0,260.08,7968.08,self 20% + leftover
71,block_0011,PDDPoS,node_0221,5095.0,42.52,5137.52,voter pd share
72,block_0011,PDDPoS,node_0313,4067.0,37.01,4104.01,voter pd share
