account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0001,1874.0,817.22,voter,0,163.22,0.0,0
node_0002,4062.0,3813.72,voter,0,663.72,0.0,0
node_0003,8985.0,14669.56,voter,10,3737.56,0.0,0
node_0004,570.0,5.63,voter,0,5.63,0.0,0
node_0005,3861.0,4221.95,voter,0,469.95,0.0,0
node_0006,9245.0,7535.0,voter,0,1476.0,0.0,0
node_0007,3661.0,4233.86,voter,0,596.86,0.0,0
node_0008,156.0,779.45,voter,0,46.45,0.0,0
node_0009,6974.0,7371.08,voter,0,1764.08,0.0,0
node_0010,3577.0,4628.24,CBP,0,1015.24,0.0,0
node_0011,1724.0,161.0,voter,0,0.0,0.0,0
node_0012,5931.0,6125.38,voter,0,1086.38,0.0,0
node_0013,761.0,1619.0,voter,0,0.0,0.0,0
node_0014,6251.0,6559.59,voter,3,711.59,0.0,1
node_0015,5975.0,5524.75,voter,0,513.75,0.0,0
node_0016,800.0,244.42,voter,0,76.42,0.0,0
node_0017,1357.0,1016.31,voter,0,139.31,0.0,0
node_0018,6277.0,4865.88,CBP,0,1337.88,0.0,0
node_0019,2714.0,1802.06,voter,0,148.06,0.0,0
node_0020,4424.0,6730.54,voter,0,445.54,0.0,0
node_0021,2853.0,2409.01,voter,6,1366.33,197.32,1
node_0022,2727.0,73.0,voter,0,0.0,0.0,0
node_0023,9175.0,8350.54,CBP,0,855.54,0.0,0
node_0024,966.0,409.57,voter,0,30.57,0.0,0
node_0025,5218.0,3893.9,voter,0,176.9,0.0,0
node_0026,3506.0,2615.0,voter,0,0.0,0.0,0
node_0027,3533.0,1318.0,voter,0,0.0,0.0,0
node_0028,7567.0,8629.7,voter,0,1892.7,0.0,0
node_0029,4090.0,3973.31,voter,0,578.31,0.0,0
node_0030,9627.0,14468.72,voter,0,3205.72,0.0,0
node_0031,5980.0,3463.85,voter,0,456.85,0.0,0
node_0032,8398.0,6266.34,voter,0,151.34,0.0,0
node_0033,1846.0,1725.1,voter,0,324.1,0.0,0
node_0034,6966.0,9691.83,voter,10,2932.83,0.0,0
node_0035,6302.0,4932.75,voter,0,894.75,0.0,0
node_0036,8719.0,11054.34,voter,10,2482.34,0.0,0
node_0037,1926.0,1058.37,voter,0,0.37,0.0,0
node_0038,5623.0,6998.37,voter,0,1423.37,0.0,0
node_0039,2641.0,4666.25,voter,0,386.25,0.0,0
node_0040,8251.0,10047.75,voter,0,2383.75,0.0,0
node_0041,4939.0,2523.18,voter,0,721.18,0.0,0
node_0042,2554.0,239.0,voter,0,0.0,0.0,0
node_0043,8887.0,9451.97,voter,9,3897.97,0.0,0
node_0044,9863.0,12607.21,voter,2,3986.21,0.0,0
node_0045,1882.0,814.0,voter,0,0.0,0.0,0
node_0046,3973.0,4416.07,voter,9,1730.07,0.0,1
node_0047,1453.0,461.0,voter,0,0.0,0.0,0
node_0048,8777.0,13229.07,voter,12,4886.07,0.0,1
node_0049,7837.0,14051.29,BP,7,5089.29,0.0,0
node_0050,4392.0,6860.2,voter,0,331.2,0.0,0
node_0051,3520.0,1633.97,voter,0,208.97,0.0,0
node_0052,5157.0,5212.41,voter,0,559.41,0.0,0
node_0053,7227.0,7223.7,voter,0,1267.7,0.0,0
node_0054,2032.0,1077.71,voter,0,111.71,0.0,0
node_0055,5589.0,2294.3,voter,0,1646.3,0.0,0
node_0056,9691.0,11532.86,voter,0,1876.86,0.0,0
node_0057,1014.0,320.0,voter,0,0.0,0.0,0
node_0058,5463.0,4398.0,voter,0,0.0,0.0,0
node_0059,4612.0,5545.49,voter,0,1172.49,0.0,0
node_0060,8884.0,9205.45,voter,0,417.45,0.0,0
node_0061,4031.0,3265.72,voter,0,132.72,0.0,0
node_0062,3169.0,2278.7,voter,0,395.7,0.0,0
node_0063,5854.0,4250.39,CBP,0,717.39,0.0,0
node_0064,937.0,397.95,voter,0,335.95,0.0,0
node_0065,1043.0,650.0,voter,0,0.0,0.0,0
node_0066,1840.0,41.31,voter,0,17.31,0.0,0
node_0067,8836.0,8808.4,voter,6,4211.36,1008.97,1
node_0068,3056.0,1898.5,voter,0,279.5,0.0,0
node_0069,1285.0,255.97,voter,0,9.97,0.0,0
node_0070,878.0,2406.77,voter,10,1454.77,0.0,0
node_0071,1578.0,333.9,voter,0,10.9,0.0,0
