Election_ID,Round,Block_id,scheduled_producer,actual_producer,n_tx,T_fees,subsidy,total_reward,self_keep,dist_to_voters,event,slashed,solidified,n_ignored
1,1,block_0001,node_0441,node_0441,419,419,128,547,156.22,390.78,normal,0.0,yes,0
1,1,block_0002,node_0239,node_0239,493,493,128,621,228.37,392.63,normal,0.0,yes,0
1,1,block_0003,node_0205,node_0205,477,477,128,605,189.01,415.99,normal,0.0,yes,0
1,1,block_0004,node_0333,node_0333,400,400,128,528,213.29,314.71,normal,0.0,yes,1
1,1,block_0005,node_0115,node_0115,648,648,128,776,276.57,499.43,normal,0.0,yes,2
1,1,block_0006,node_0097,node_0097,567,567,128,695,289.8,405.2,normal,0.0,yes,1
1,1,block_0007,node_0192,node_0192,573,573,128,701,302.04,398.96,normal,0.0,yes,2
1,1,block_0008,node_0071,node_0071,649,649,128,777,188.91,588.09,normal,0.0,yes,1
1,1,block_0009,node_0156,node_0156,649,649,128,777,310.89,466.11,normal,0.0,yes,1
1,1,block_0010,node_0240,node_0240,650,650,128,778,261.23,516.77,normal,0.0,yes,0
1,1,block_0011,node_0374,node_0374,533,533,128,661,285.79,375.21,normal,0.0,yes,1
1,1,block_0012,node_0067,node_0067,648,648,128,776,361.98,414.02,normal,0.0,yes,2
1,1,block_0013,node_0442,node_0442,649,649,128,777,339.14,437.86,normal,0.0,yes,1
1,1,block_0014,node_0211,node_0211,458,458,128,586,281.68,304.32,normal,0.0,yes,2
1,1,block_0015,node_0498,node_0498,649,649,128,777,201.4,575.6,normal,0.0,yes,1
1,1,block_0016,node_0361,node_0361,650,650,128,778,194.55,583.45,normal,0.0,yes,0
1,1,block_0017,node_0148,node_0148,649,649,128,777,344.11,432.89,normal,0.0,yes,1
1,1,block_0018,node_0039,node_0039,497,497,128,625,178.51,446.49,normal,0.0,yes,1
1,1,block_0019,node_0248,node_0248,650,650,128,778,349.31,428.69,normal,0.0,yes,0
1,1,block_0020,node_0371,node_0371,525,525,128,653,342.93,310.07,normal,0.0,yes,3
1,1,block_0021,node_0315,node_0315,649,649,128,777,354.52,422.48,normal,0.0,yes,1
1,1,block_0022,node_0026,node_0026,415,415,128,543,173.01,369.99,normal,0.0,yes,2
1,1,block_0023,node_0133,node_0133,556,556,128,684,257.71,426.29,normal,0.0,yes,0
