account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0001,1874.0,971.2,CBP,0,340.2,0.0,0
node_0002,4062.0,3208.0,voter,0,0.0,0.0,0
node_0003,8985.0,11758.45,voter,0,826.45,0.0,0
node_0004,570.0,12.0,CBP,0,0.0,0.0,0
node_0005,3861.0,3766.0,voter,0,0.0,0.0,0
node_0006,9245.0,6322.4,voter,0,355.4,0.0,0
node_0007,3661.0,3977.13,voter,0,463.13,0.0,0
node_0008,156.0,817.0,voter,0,0.0,0.0,0
node_0009,6974.0,8951.32,voter,11,3332.32,0.0,0
node_0010,3577.0,3599.0,voter,0,0.0,0.0,0
node_0011,1724.0,150.0,voter,0,0.0,0.0,0
node_0012,5931.0,5024.0,voter,0,0.0,0.0,0
node_0013,761.0,1619.0,CBP,0,0.0,0.0,0
node_0014,6251.0,6579.97,CBP,1,1691.42,953.44,1
node_0015,5975.0,5410.34,voter,0,354.34,0.0,0
node_0016,800.0,241.0,voter,0,0.0,0.0,0
node_0017,1357.0,1008.0,CBP,0,0.0,0.0,0
node_0018,6277.0,5515.58,voter,0,1939.58,0.0,0
node_0019,2714.0,3139.54,voter,9,1744.48,285.94,1
node_0020,4424.0,7310.97,CBP,0,1109.97,0.0,0
node_0021,2853.0,1178.0,voter,0,0.0,0.0,0
node_0022,2727.0,69.0,voter,0,0.0,0.0,0
node_0023,9175.0,9225.24,voter,0,1719.24,0.0,0
node_0024,966.0,408.96,voter,0,128.96,0.0,0
node_0025,5218.0,3732.0,CBP,0,0.0,0.0,0
node_0026,3506.0,2658.54,voter,0,91.54,0.0,1
node_0027,3533.0,1318.0,voter,0,0.0,0.0,0
node_0028,7567.0,7909.93,CBP,0,1172.93,0.0,0
node_0029,4090.0,3967.09,voter,0,572.09,0.0,0
node_0030,9627.0,16885.27,BP,3,5656.27,0.0,0
node_0031,5980.0,3646.95,BP,3,639.95,0.0,0
node_0032,8398.0,11502.03,BP,9,5364.03,0.0,0
node_0033,1846.0,1699.74,CBP,0,6.74,0.0,0
node_0034,6966.0,8603.16,CBP,6,1822.16,0.0,0
node_0035,6302.0,3998.0,voter,0,0.0,0.0,0
node_0036,8719.0,9310.05,BP,2,761.05,0.0,0
node_0037,1926.0,1035.0,voter,0,0.0,0.0,0
node_0038,5623.0,5575.0,voter,0,0.0,0.0,0
node_0039,2641.0,5601.7,voter,4,1326.7,0.0,1
node_0040,8251.0,7692.0,voter,0,0.0,0.0,0
node_0041,4939.0,1757.0,voter,0,0.0,0.0,0
node_0042,2554.0,239.0,voter,0,0.0,0.0,0
node_0043,8887.0,6691.99,voter,0,1146.99,0.0,0
node_0044,9863.0,11774.77,BP,7,3153.77,0.0,0
node_0045,1882.0,1307.3,voter,0,424.3,0.0,0
node_0046,3973.0,2686.0,voter,0,0.0,0.0,0
node_0047,1453.0,460.45,voter,0,379.45,0.0,0
node_0048,8777.0,8673.65,CBP,0,263.65,0.0,0
node_0049,7837.0,11335.64,voter,2,2429.64,0.0,0
node_0050,4392.0,6799.64,voter,1,297.64,0.0,0
node_0051,3520.0,3338.36,voter,9,1965.36,0.0,0
node_0052,5157.0,4653.0,CBP,0,0.0,0.0,0
node_0053,7227.0,6231.38,voter,0,267.38,0.0,0
node_0054,2032.0,983.09,voter,0,17.09,0.0,0
node_0055,5589.0,2066.73,voter,0,1418.73,0.0,0
node_0056,9691.0,12115.03,voter,0,2503.03,0.0,0
node_0057,1014.0,320.0,voter,0,0.0,0.0,0
node_0058,5463.0,4890.99,voter,0,469.99,0.0,0
node_0059,4612.0,4340.0,voter,0,0.0,0.0,0
node_0060,8884.0,9247.18,voter,0,399.18,0.0,0
node_0061,4031.0,3121.0,voter,0,0.0,0.0,0
node_0062,3169.0,2028.04,voter,0,127.04,0.0,0
node_0063,5854.0,3617.0,voter,0,0.0,0.0,0
node_0064,937.0,395.12,voter,0,60.12,0.0,0
node_0065,1043.0,651.27,voter,0,61.27,0.0,0
node_0066,1840.0,40.78,voter,1,164.78,0.0,0
node_0067,8836.0,9183.51,voter,11,3577.51,0.0,2
node_0068,3056.0,1606.0,voter,0,0.0,0.0,0
node_0069,1285.0,265.0,voter,0,0.0,0.0,0
node_0070,878.0,1063.7,voter,0,115.7,0.0,0
node_0071,1578.0,362.16,voter,6,967.06,205.91,1
node_0072,2774.0,483.72,BP,1,164.36,212.64,1
node_0073,3552.0,3820.0,voter,0,0.0,0.0,0
node_0074,2747.0,3564.28,voter,0,618.28,0.0,0
node_0075,4395.0,4236.0,voter,0,0.0,0.0,0
node_0076,4723.0,3922.65,voter,0,259.65,0.0,0
node_0077,2586.0,1488.41,CBP,2,508.56,330.16,1
node_0078,1008.0,14.0,voter,0,0.0,0.0,0
node_0079,5188.0,3524.55,voter,0,1209.55,0.0,0
node_0080,8288.0,11897.04,voter,10,4634.04,0.0,0
node_0081,981.0,258.0,CBP,0,0.0,0.0,0
node_0082,3094.0,1289.47,voter,0,334.47,0.0,0
node_0083,3903.0,2239.0,voter,0,0.0,0.0,0
node_0084,9535.0,9522.12,voter,2,2877.12,0.0,1
node_0085,6918.0,6304.84,voter,0,2035.84,0.0,0
node_0086,4322.0,1580.73,CBP,0,675.73,0.0,0
node_0087,3960.0,4348.17,voter,5,1282.64,509.46,1
node_0088,4965.0,5278.05,voter,0,814.05,0.0,0
node_0089,202.0,172.22,voter,0,71.22,0.0,0
node_0090,1250.0,705.5,voter,0,81.5,0.0,0
node_0091,2220.0,265.0,voter,0,0.0,0.0,0
node_0092,4052.0,3630.72,voter,8,1882.72,0.0,1
node_0093,7229.0,6837.0,CBP,0,0.0,0.0,0
node_0094,8716.0,10118.75,voter,0,2238.75,0.0,0
node_0095,1747.0,308.0,voter,0,0.0,0.0,0
node_0096,4383.0,4607.27,voter,0,2867.27,0.0,0
node_0097,9114.0,13687.05,voter,10,7020.05,0.0,0
node_0098,9959.0,9321.02,voter,0,1597.02,0.0,0
node_0099,3385.0,431.1,voter,0,172.1,0.0,0
node_0100,8330.0,10514.98,voter,10,4729.98,0.0,0
node_0101,1562.0,1567.0,voter,0,0.0,0.0,0
