Reward_dist_id,Block_id,type,account_id,self.stake,pd_reward_stake,closing_stake,remarks
1,block_0001,PDDPoS,node_0123,8828.0,25.67,8853.67,voter pd share
2,block_0001,PDDPoS,node_0116,4439.0,13.5,4452.5,voter pd share
3,block_0001,PDDPoS,node_0416,9767.0,34.63,9801.63,voter pd share
4,block_0001,PDDPoS,node_0437,3274.0,14.71,3288.71,voter pd share
5,block_0001,PDDPoS,node_0244,2558.0,12.79,2570.79,voter pd share
6,block_0001,PDDPoS,node_0093,7276.0,39.16,7315.16,voter pd share
7,block_0001,PDDPoS,node_0467,5714.0,30.59,5744.59,voter pd share
8,block_0001,PDDPoS,node_0069,1207.0,7.02,1214.02,voter pd share
9,block_0001,PDDPoS,node_0179,5405.0,31.14,5436.14,voter pd share
10,block_0001,PDDPoS,node_0218,7803.0,48.41,7851.41,voter pd share
11,block_0001,PDDPoS,node_0334,8747.0,57.72,8804.72,voter pd share
12,block_0001,PDDPoS,node_0061,4066.0,26.6,4092.6,voter pd share
13,block_0001,PDDPoS,node_0048,8767.0,59.21,8826.21,voter pd share
14,block_0001,PDDPoS,node_0476,7471.0,145.86,7616.86,self 20% + leftover
15,block_0002,PDDPoS,node_0107,9604.0,38.55,9642.55,voter pd share
16,block_0002,PDDPoS,node_0167,6332.0,27.09,6359.09,voter pd share
17,block_0002,PDDPoS,node_0114,6751.0,29.55,6780.55,voter pd share
18,block_0002,PDDPoS,node_0441,5272.0,23.05,5295.05,voter pd share
19,block_0002,PDDPoS,node_0433,1376.0,6.07,1382.07,voter pd share
20,block_0002,PDDPoS,node_0029,4063.0,20.41,4083.41,voter pd share
21,block_0002,PDDPoS,node_0338,2398.0,12.06,2410.06,voter pd share
22,block_0002,PDDPoS,node_0177,7531.0,39.98,7570.98,voter pd share
23,block_0002,PDDPoS,node_0071,1578.0,8.28,1586.28,voter pd share
24,block_0002,PDDPoS,node_0486,7415.0,40.35,7455.35,voter pd share
25,block_0002,PDDPoS,node_0201,7583.0,48.16,7631.16,voter pd share
26,block_0002,PDDPoS,node_0053,7191.0,53.4,7244.4,voter pd share
27,block_0002,PDDPoS,node_0331,1542.0,11.77,1553.77,voter pd share
28,block_0002,PDDPoS,node_0319,4230.0,36.02,4266.02,voter pd share
29,block_0002,PDDPoS,node_0212,1432.0,13.08,1445.08,voter pd share
30,block_0002,PDDPoS,node_0387,7117.0,65.77,7182.77,voter pd share
31,block_0002,PDDPoS,node_0010,3532.0,147.39,3679.39,self 20% + leftover
32,block_0003,PDDPoS,node_0492,1629.0,4.37,1633.37,voter pd share
33,block_0003,PDDPoS,node_0391,6160.0,17.38,6177.38,voter pd share
34,block_0003,PDDPoS,node_0453,634.0,2.36,636.36,voter pd share
35,block_0003,PDDPoS,node_0366,5487.0,21.0,5508.0,voter pd share
36,block_0003,PDDPoS,node_0151,1759.0,7.3,1766.3,voter pd share
37,block_0003,PDDPoS,node_0261,4563.0,24.29,4587.29,voter pd share
38,block_0003,PDDPoS,node_0111,9234.0,51.4,9285.4,voter pd share
39,block_0003,PDDPoS,node_0174,2077.0,12.36,2089.36,voter pd share
40,block_0003,PDDPoS,node_0023,9223.0,56.66,9279.66,voter pd share
41,block_0003,PDDPoS,node_0257,7103.0,45.45,7148.45,voter pd share
42,block_0003,PDDPoS,node_0173,6741.0,43.23,6784.23,voter pd share
43,block_0003,PDDPoS,node_0189,10001.0,65.11,10066.11,voter pd share
44,block_0003,PDDPoS,node_0260,7750.0,52.97,7802.97,voter pd share
45,block_0003,PDDPoS,node_0343,9652.0,67.19,9719.19,voter pd share
46,block_0003,PDDPoS,node_0279,2525.0,133.91,2658.91,self 20% + leftover
47,block_0004,PDDPoS,node_0429,1419.0,4.68,1423.68,voter pd share
48,block_0004,PDDPoS,node_0038,5655.0,18.7,5673.7,voter pd share
49,block_0004,PDDPoS,node_0430,3994.0,15.34,4009.34,voter pd share
50,block_0004,PDDPoS,node_0084,9440.0,38.51,9478.51,voter pd share
51,block_0004,PDDPoS,node_0165,6870.0,34.16,6904.16,voter pd share
