Election_ID,Round,Block_id,scheduled_producer,actual_producer,n_tx,T_fees,subsidy,total_reward,self_keep,dist_to_voters,event,slashed,solidified,n_ignored
1,1,block_0001,node_0476,node_0476,419,419,128,547,145.86,401.14,normal,0.0,yes,0
1,1,block_0002,node_0010,node_0010,493,493,128,621,147.39,473.61,normal,0.0,yes,0
1,1,block_0003,node_0279,node_0279,477,477,128,605,133.91,471.09,normal,0.0,yes,0
1,1,block_0004,node_0484,node_0484,400,400,128,528,146.0,382.0,normal,0.0,yes,1
1,1,block_0005,node_0376,node_0376,648,648,128,776,227.97,548.03,normal,0.0,yes,2
1,1,block_0006,node_0253,node_0253,567,567,128,695,203.0,492.0,normal,0.0,yes,1
1,1,block_0007,node_0480,node_0480,573,573,128,701,196.93,504.07,normal,0.0,yes,2
1,1,block_0008,node_0352,node_0352,649,649,128,777,235.61,541.39,normal,0.0,yes,1
1,1,block_0009,node_0067,node_0067,649,649,128,777,247.71,529.29,normal,0.0,yes,1
1,1,block_0010,node_0367,node_0367,650,650,128,778,198.42,579.58,normal,0.0,yes,0
1,2,block_0011,node_0476,node_0476,533,533,128,661,176.26,484.74,normal,0.0,yes,1
1,2,block_0012,node_0010,node_0010,648,648,128,776,184.17,591.83,normal,0.0,yes,2
1,2,block_0013,node_0279,node_0279,649,649,128,777,171.99,605.01,normal,0.0,yes,1
1,2,block_0014,node_0484,node_0484,458,458,128,586,162.04,423.96,normal,0.0,yes,2
1,2,block_0015,node_0376,node_0376,649,649,128,777,228.27,548.73,normal,0.0,yes,1
1,2,block_0016,node_0253,node_0253,650,650,128,778,227.25,550.75,normal,0.0,yes,0
1,2,block_0017,node_0480,node_0480,649,649,128,777,218.28,558.72,normal,0.0,yes,1
1,2,block_0018,node_0352,node_0352,497,497,128,625,189.52,435.48,normal,0.0,yes,1
1,2,block_0019,node_0067,node_0067,650,650,128,778,248.03,529.97,normal,0.0,yes,0
1,2,block_0020,node_0367,node_0367,525,525,128,653,166.54,486.46,normal,0.0,yes,3
1,3,block_0021,node_0476,node_0476,649,649,128,777,207.2,569.8,normal,0.0,yes,1
1,3,block_0022,node_0010,node_0010,415,415,128,543,128.87,414.13,normal,0.0,yes,2
1,3,block_0023,node_0279,node_0279,556,556,128,684,151.4,532.6,normal,0.0,yes,0
1,3,block_0024,node_0484,node_0484,650,650,128,778,215.13,562.87,normal,0.0,yes,0
1,3,block_0025,node_0376,node_0376,509,509,128,637,187.14,449.86,normal,0.0,yes,0
1,3,block_0026,node_0253,node_0253,645,645,128,773,225.79,547.21,normal,0.0,yes,2
1,3,block_0027,node_0480,node_0480,643,643,128,771,216.59,554.41,normal,0.0,yes,0
1,3,block_0028,node_0352,node_0067,574,574,128,702,223.8,478.2,missed,0.0,yes,0
1,3,block_0029,node_0067,node_0067,650,650,128,778,248.03,529.97,normal,0.0,yes,0
1,3,block_0030,node_0367,node_0367,536,536,128,664,169.34,494.66,normal,0.0,yes,1
1,4,block_0031,node_0476,node_0476,535,535,128,663,176.8,486.2,normal,0.0,yes,0
1,4,block_0032,node_0010,node_0010,486,486,128,614,145.72,468.28,normal,0.0,yes,1
1,4,block_0033,node_0279,node_0279,649,649,128,777,171.99,605.01,normal,0.0,yes,1
1,4,block_0034,node_0484,node_0484,477,477,128,605,167.29,437.71,normal,0.0,yes,0
1,4,block_0035,node_0376,node_0376,439,439,128,567,166.57,400.43,normal,0.0,yes,0
1,4,block_0036,node_0253,node_0253,638,638,128,766,223.74,542.26,normal,0.0,yes,0
1,4,block_0037,node_0480,node_0480,485,485,128,613,172.21,440.79,normal,0.0,yes,1
1,4,block_0038,node_0466,node_0466,616,616,128,744,202.65,541.35,normal,0.0,yes,2
1,4,block_0039,node_0067,node_0067,629,629,128,757,241.33,515.67,normal,0.0,yes,1
1,4,block_0040,node_0367,node_0367,649,649,128,777,198.16,578.84,normal,0.0,yes,1
1,5,block_0041,node_0476,node_0476,646,646,128,774,206.4,567.6,normal,0.0,yes,0
1,5,block_0042,node_0010,node_0010,432,432,128,560,132.91,427.09,normal,0.0,yes,1
1,5,block_0043,node_0279,node_0279,406,406,128,534,118.2,415.8,normal,0.0,yes,0
1,5,block_0044,node_0484,node_0484,649,649,128,777,214.85,562.15,normal,0.0,yes,1
1,5,block_0045,node_0376,node_0376,650,650,128,778,228.56,549.44,normal,0.0,yes,0
1,5,block_0046,node_0253,node_0253,410,410,128,538,157.14,380.86,normal,0.0,yes,0
1,5,block_0047,node_0480,node_0480,582,582,128,710,199.46,510.54,normal,0.0,yes,1
1,5,block_0048,node_0466,node_0466,597,597,128,725,197.48,527.52,normal,0.0,yes,1
1,5,block_0049,node_0067,node_0067,550,550,128,678,216.15,461.85,normal,0.0,yes,0
1,5,block_0050,node_0367,node_0367,528,528,128,656,167.3,488.7,normal,0.0,yes,0
1,6,block_0051,node_0476,node_0476,650,650,128,778,207.46,570.54,normal,0.0,yes,0
1,6,block_0052,node_0010,node_0010,573,573,128,701,166.37,534.63,normal,0.0,yes,1
1,6,block_0053,node_0279,node_0279,534,534,128,662,146.53,515.47,normal,0.0,yes,0
1,6,block_0054,node_0484,node_0484,560,560,128,688,190.24,497.76,normal,0.0,yes,1
1,6,block_0055,node_0376,node_0376,558,558,128,686,201.53,484.47,normal,0.0,yes,1
1,6,block_0056,node_0253,node_0253,490,490,128,618,180.51,437.49,normal,0.0,yes,0
1,6,block_0057,node_0480,node_0480,445,445,128,573,160.97,412.03,normal,0.0,yes,0
1,6,block_0058,node_0466,node_0466,611,611,128,739,201.29,537.71,normal,0.0,yes,0
1,6,block_0059,node_0067,node_0067,650,650,128,778,248.03,529.97,normal,0.0,yes,0
1,6,block_0060,node_0367,node_0367,479,479,128,607,154.81,452.19,normal,0.0,yes,1
1,7,block_0061,node_0476,node_0476,596,596,128,724,193.06,530.94,normal,0.0,yes,0
1,7,block_0062,node_0010,node_0010,439,439,128,567,134.57,432.43,normal,0.0,yes,1
1,7,block_0063,node_0279,node_0279,648,648,128,776,171.76,604.24,normal,0.0,yes,2
1,7,block_0064,node_0484,node_0376,649,649,128,777,228.27,548.73,missed,0.0,yes,1
1,7,block_0065,node_0376,node_0376,650,650,128,778,228.56,549.44,normal,0.0,yes,0
1,7,block_0066,node_0253,node_0253,650,650,128,778,227.25,550.75,normal,0.0,yes,0
1,7,block_0067,node_0480,node_0480,401,401,128,529,148.61,380.39,normal,0.0,yes,0
1,7,block_0068,node_0466,node_0466,439,439,128,567,154.44,412.56,normal,0.0,yes,0
1,7,block_0069,node_0067,node_0067,650,650,128,778,248.03,529.97,normal,0.0,yes,0
1,7,block_0070,node_0367,node_0367,649,649,128,777,198.16,578.84,normal,0.0,yes,1
1,8,block_0071,node_0476,node_0476,582,582,128,710,189.33,520.67,normal,0.0,yes,0
1,8,block_0072,node_0010,node_0010,589,589,128,717,170.17,546.83,normal,0.0,yes,0
1,8,block_0073,node_0279,node_0279,601,601,128,729,161.36,567.64,normal,0.0,yes,4
1,8,block_0074,node_0039,node_0039,441,441,128,569,131.34,437.66,normal,0.0,yes,1
1,8,block_0075,node_0376,node_0376,605,605,128,733,215.34,517.66,normal,0.0,yes,0
1,8,block_0076,node_0253,node_0253,534,534,128,662,193.36,468.64,normal,0.0,yes,0
1,8,block_0077,node_0480,node_0480,650,650,128,778,218.56,559.44,normal,0.0,yes,0
1,8,block_0078,node_0466,node_0466,431,431,128,559,152.26,406.74,normal,0.0,yes,0
1,8,block_0079,node_0067,node_0067,491,491,128,619,197.34,421.66,normal,0.0,yes,2
1,8,block_0080,node_0367,node_0367,473,473,128,601,153.28,447.72,normal,0.0,yes,3
1,9,block_0081,node_0476,node_0476,606,606,128,734,195.73,538.27,normal,0.0,yes,0
1,9,block_0082,node_0010,node_0010,543,543,128,671,159.25,511.75,normal,0.0,yes,0
1,9,block_0083,node_0279,node_0279,582,582,128,710,157.15,552.85,normal,0.0,yes,0
1,9,block_0084,node_0039,node_0039,424,424,128,552,127.42,424.58,normal,0.0,yes,0
1,9,block_0085,node_0376,node_0376,420,420,128,548,160.99,387.01,normal,0.0,yes,1
1,9,block_0086,node_0253,node_0253,650,650,128,778,227.25,550.75,normal,0.0,yes,0
1,9,block_0087,node_0480,node_0480,434,434,128,562,157.88,404.12,normal,0.0,yes,0
1,9,block_0088,node_0466,node_0466,601,601,128,729,198.57,530.43,normal,0.0,yes,0
1,9,block_0089,node_0067,node_0067,650,650,128,778,248.03,529.97,normal,0.0,yes,0
1,9,block_0090,node_0367,node_0367,647,647,128,775,197.65,577.35,normal,0.0,yes,3
1,10,block_0091,node_0476,node_0476,638,638,128,766,204.26,561.74,normal,0.0,yes,0
