account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0001,1874.0,2718.97,voter,13,2015.97,0.0,1
node_0002,4062.0,3570.42,voter,0,374.42,0.0,0
node_0003,8985.0,14444.83,voter,0,3512.83,0.0,0
node_0004,570.0,11.76,voter,0,22.76,0.0,0
node_0005,3861.0,3833.65,voter,0,67.65,0.0,0
node_0006,9245.0,9683.07,voter,10,3664.07,0.0,0
node_0007,3661.0,6141.06,voter,11,2529.06,0.0,0
node_0008,156.0,770.13,CBP,0,44.13,0.0,0
node_0009,6974.0,7488.74,voter,0,1876.74,0.0,0
node_0010,3577.0,5537.35,voter,10,1884.35,0.0,0
node_0011,1724.0,149.95,voter,0,39.95,0.0,0
node_0012,5931.0,6151.34,voter,0,1088.34,0.0,0
node_0013,761.0,1643.03,voter,0,19.03,0.0,0
node_0014,6251.0,8687.33,BP,10,2845.33,0.0,0
node_0015,5975.0,6150.94,voter,0,1094.94,0.0,0
node_0016,800.0,238.64,voter,0,145.64,0.0,0
node_0017,1357.0,1019.08,voter,1,282.76,134.68,1
node_0018,6277.0,6283.93,voter,10,2711.93,0.0,0
node_0019,2714.0,2043.93,voter,0,362.93,0.0,0
node_0020,4424.0,7178.94,voter,0,973.94,0.0,0
node_0021,2853.0,1660.58,voter,0,493.58,0.0,0
node_0022,2727.0,71.28,voter,0,74.28,0.0,0
node_0023,9175.0,11490.71,voter,2,3915.71,0.0,1
node_0024,966.0,407.74,voter,0,84.74,0.0,0
node_0025,5218.0,4177.16,voter,0,422.16,0.0,0
node_0026,3506.0,2882.52,voter,0,229.52,0.0,0
node_0027,3533.0,2589.76,voter,0,1272.76,0.0,0
node_0028,7567.0,8130.73,voter,0,1317.73,0.0,0
node_0029,4090.0,4032.39,voter,0,580.39,0.0,0
node_0030,9627.0,15973.14,voter,10,4744.14,0.0,0
node_0031,5980.0,3410.37,voter,0,383.37,0.0,0
node_0032,8398.0,6479.12,voter,2,1148.99,797.87,1
node_0033,1846.0,1721.29,voter,0,320.29,0.0,0
node_0034,6966.0,7649.09,voter,3,1612.01,767.92,1
node_0035,6302.0,5365.0,voter,0,1367.0,0.0,0
node_0036,8719.0,11280.06,voter,2,2708.06,0.0,1
node_0037,1926.0,1510.29,voter,2,506.13,41.84,1
node_0038,5623.0,6514.11,voter,0,939.11,0.0,0
node_0039,2641.0,5621.66,voter,3,1297.66,0.0,0
node_0040,8251.0,11622.41,voter,12,3879.41,0.0,0
node_0041,4939.0,2150.52,voter,0,355.52,0.0,0
node_0042,2554.0,252.06,voter,0,437.06,0.0,0
node_0043,8887.0,5984.49,voter,0,393.49,0.0,0
node_0044,9863.0,10886.02,voter,0,2265.02,0.0,0
node_0045,1882.0,1935.32,voter,7,1080.32,0.0,0
node_0046,3973.0,3420.15,voter,2,734.15,0.0,1
node_0047,1453.0,473.6,voter,0,108.6,0.0,0
node_0048,8777.0,16168.13,voter,21,7779.13,0.0,2
node_0049,7837.0,9741.64,voter,0,748.64,0.0,0
node_0050,4392.0,10595.83,voter,11,4093.83,0.0,0
node_0051,3520.0,1922.49,voter,0,524.49,0.0,0
node_0052,5157.0,5784.82,voter,0,1131.82,0.0,0
node_0053,7227.0,7832.94,voter,1,1829.94,0.0,1
node_0054,2032.0,1403.44,voter,0,397.44,0.0,0
node_0055,5589.0,1302.41,voter,0,618.41,0.0,0
node_0056,9691.0,10576.03,voter,0,920.03,0.0,0
node_0057,1014.0,622.42,voter,0,302.42,0.0,0
node_0058,5463.0,5278.54,voter,0,831.54,0.0,0
node_0059,4612.0,4828.23,voter,0,455.23,0.0,0
node_0060,8884.0,9429.44,voter,0,573.44,0.0,0
node_0061,4031.0,3961.38,voter,0,783.38,0.0,0
node_0062,3169.0,2381.55,voter,0,572.55,0.0,0
node_0063,5854.0,5504.31,voter,10,1930.31,0.0,0
node_0064,937.0,392.78,voter,0,118.78,0.0,0
node_0065,1043.0,652.27,voter,0,146.27,0.0,0
node_0066,1840.0,41.13,voter,0,14.13,0.0,0
node_0067,8836.0,12132.17,voter,15,6539.17,0.0,0
node_0068,3056.0,1907.71,voter,0,301.71,0.0,0
node_0069,1285.0,681.55,voter,0,435.55,0.0,0
node_0070,878.0,1085.33,voter,0,228.33,0.0,0
node_0071,1578.0,346.0,voter,0,347.0,0.0,0
node_0072,2774.0,931.56,voter,0,399.56,0.0,0
node_0073,3552.0,4151.04,CBP,0,399.04,0.0,0
node_0074,2747.0,3142.19,BP,0,155.19,0.0,0
node_0075,4395.0,5407.83,voter,0,1148.83,0.0,0
node_0076,4723.0,4119.26,voter,0,390.26,0.0,0
node_0077,2586.0,1511.81,voter,0,232.81,0.0,0
node_0078,1008.0,9.85,voter,5,720.41,144.56,1
node_0079,5188.0,2480.4,voter,0,194.4,0.0,0
node_0080,8288.0,9827.13,voter,0,2447.13,0.0,0
node_0081,981.0,314.12,voter,0,56.12,0.0,0
node_0082,3094.0,1418.27,voter,0,461.27,0.0,0
node_0083,3903.0,3112.13,voter,3,811.13,0.0,1
node_0084,9535.0,8579.03,voter,2,1934.03,0.0,0
node_0085,6918.0,5304.86,BP,0,1031.86,0.0,0
node_0086,4322.0,1800.38,voter,0,911.38,0.0,0
node_0087,3960.0,4130.14,voter,0,481.14,0.0,0
node_0088,4965.0,5470.61,voter,0,1040.61,0.0,0
node_0089,202.0,178.27,CBP,0,72.27,0.0,0
node_0090,1250.0,720.33,voter,0,17.33,0.0,0
node_0091,2220.0,753.9,voter,0,488.9,0.0,0
node_0092,4052.0,2287.5,voter,0,552.5,0.0,0
node_0093,7229.0,10251.8,voter,0,3369.8,0.0,0
node_0094,8716.0,7940.36,voter,0,60.36,0.0,0
node_0095,1747.0,306.77,voter,0,127.77,0.0,0
node_0096,4383.0,1802.99,voter,0,46.99,0.0,0
node_0097,9114.0,7362.68,voter,0,675.68,0.0,0
node_0098,9959.0,9823.76,CBP,0,2020.76,0.0,0
node_0099,3385.0,559.85,voter,0,300.85,0.0,0
node_0100,8330.0,7466.0,voter,0,1681.0,0.0,0
node_0101,1562.0,1643.07,voter,0,73.07,0.0,0
node_0102,772.0,415.32,voter,0,114.32,0.0,0
node_0103,4341.0,3479.54,voter,0,510.54,0.0,0
node_0104,9088.0,7838.71,voter,0,2531.71,0.0,0
node_0105,1882.0,4574.45,CBP,10,1985.45,0.0,0
node_0106,8988.0,10840.55,voter,10,2312.55,0.0,0
node_0107,9593.0,11396.0,voter,0,2862.0,0.0,0
node_0108,2138.0,1677.63,voter,0,320.63,0.0,0
node_0109,703.0,513.53,voter,0,50.53,0.0,0
node_0110,4138.0,4577.0,voter,0,222.0,0.0,0
node_0111,9223.0,11610.0,voter,0,2495.0,0.0,0
node_0112,2582.0,1700.11,voter,0,795.11,0.0,0
