account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0361,1551.0,563.45,voter,0,280.45,0.0,0
node_0362,878.0,977.28,voter,0,62.28,0.0,0
node_0363,2113.0,3169.75,voter,18,2972.75,0.0,1
node_0364,1174.0,336.32,voter,0,63.32,0.0,0
node_0365,9657.0,9786.77,voter,3,1526.75,1014.97,1
node_0366,5433.0,7129.81,voter,0,1653.81,0.0,0
node_0367,4592.0,6424.55,voter,10,1968.55,0.0,0
node_0368,2179.0,136.52,voter,0,176.52,0.0,0
node_0369,1851.0,1407.73,voter,0,102.73,0.0,0
node_0370,2209.0,3115.35,voter,0,402.35,0.0,0
node_0371,9697.0,9845.96,voter,0,1793.96,0.0,0
node_0372,4397.0,4647.61,voter,0,807.61,0.0,0
node_0373,8669.0,5986.49,CBP,0,487.49,0.0,0
node_0374,7852.0,6156.89,BP,0,645.89,0.0,0
node_0375,8458.0,10016.17,CBP,0,3715.17,0.0,0
node_0376,8304.0,14109.37,BP,11,4927.37,0.0,0
node_0377,8593.0,7098.71,voter,2,1759.24,850.54,1
node_0378,1046.0,1942.46,voter,0,407.46,0.0,0
node_0379,7034.0,8431.59,voter,10,2954.59,0.0,0
node_0380,7317.0,4845.65,voter,0,284.65,0.0,0
node_0381,5327.0,5920.0,BP,0,649.0,0.0,0
node_0382,2117.0,474.42,voter,0,111.42,0.0,0
node_0383,6290.0,6151.06,CBP,0,1688.06,0.0,0
node_0384,7483.0,8622.04,voter,0,935.04,0.0,0
node_0385,1674.0,969.9,voter,0,159.9,0.0,0
node_0386,9083.0,9533.67,voter,5,2444.53,964.87,1
node_0387,7096.0,10292.81,voter,0,2414.81,0.0,0
node_0388,6829.0,7417.0,voter,0,0.0,0.0,0
node_0389,6582.0,5875.55,voter,0,587.55,0.0,0
node_0390,5170.0,2989.57,voter,0,70.57,0.0,0
node_0391,6182.0,5068.62,voter,0,1126.62,0.0,0
node_0392,1149.0,19.71,voter,0,117.71,0.0,0
node_0393,1577.0,922.0,voter,0,0.0,0.0,0
node_0394,2181.0,719.0,voter,0,92.0,0.0,0
node_0395,2052.0,1821.99,CBP,0,440.99,0.0,0
node_0396,892.0,182.39,voter,0,85.39,0.0,0
node_0397,5811.0,6494.89,voter,10,2524.89,0.0,0
node_0398,2585.0,5159.62,voter,0,746.62,0.0,0
node_0399,1823.0,3491.33,voter,0,47.33,0.0,0
node_0400,1932.0,2109.98,voter,0,268.98,0.0,0
node_0401,7080.0,6015.89,voter,0,106.89,0.0,0
node_0402,4431.0,1902.19,voter,0,109.19,0.0,0
node_0403,5112.0,8389.29,voter,0,2167.29,0.0,0
node_0404,150.0,477.15,voter,8,1173.15,0.0,0
node_0405,9328.0,12972.18,voter,10,4950.18,0.0,0
node_0406,2374.0,2330.79,voter,0,177.79,0.0,0
node_0407,1553.0,639.12,voter,0,193.12,0.0,0
node_0408,6213.0,7218.76,voter,0,1822.76,0.0,0
