account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0105,1882.0,3189.41,voter,0,607.41,0.0,0
node_0106,8988.0,11255.37,voter,0,2759.37,0.0,0
node_0107,9593.0,10427.78,BP,2,1872.78,0.0,0
node_0108,2138.0,1462.74,voter,0,69.74,0.0,0
node_0109,703.0,510.0,voter,0,0.0,0.0,0
node_0110,4138.0,4645.26,voter,0,199.26,0.0,0
node_0111,9223.0,11705.07,voter,0,2590.07,0.0,0
node_0112,2582.0,1296.18,voter,0,414.18,0.0,0
node_0113,2712.0,3163.46,voter,0,1078.46,0.0,0
node_0114,6805.0,7633.09,CBP,0,1201.09,0.0,0
node_0115,6795.0,8118.98,voter,8,2292.68,857.69,1
node_0116,4421.0,3060.06,voter,0,934.06,0.0,0
node_0117,6317.0,6507.45,CBP,0,1653.45,0.0,0
node_0118,3694.0,4533.0,CBP,0,0.0,0.0,0
node_0119,5778.0,6621.42,voter,0,1013.42,0.0,0
node_0120,3702.0,58.12,voter,0,4.12,0.0,0
node_0121,6578.0,6265.5,CBP,2,1799.5,0.0,0
node_0122,4623.0,5742.32,voter,10,2877.32,0.0,0
node_0123,8835.0,6340.0,CBP,0,0.0,0.0,1
node_0124,1939.0,3049.0,voter,0,0.0,0.0,0
node_0125,2975.0,1608.12,voter,0,138.12,0.0,0
node_0126,676.0,704.19,voter,0,200.19,0.0,0
node_0127,5713.0,4619.0,voter,0,0.0,0.0,0
node_0128,7199.0,8004.67,voter,0,1014.67,0.0,0
node_0129,6361.0,9097.2,CBP,0,1477.2,0.0,0
node_0130,4223.0,2104.0,voter,0,0.0,0.0,0
node_0131,77.0,684.0,voter,0,0.0,0.0,0
node_0132,6017.0,4050.67,CBP,0,147.67,0.0,0
node_0133,5193.0,7334.04,voter,10,2887.04,0.0,0
node_0134,4970.0,3295.39,voter,0,143.39,0.0,0
node_0135,5394.0,4567.05,voter,0,105.05,0.0,0
node_0136,9133.0,11034.38,voter,0,1551.38,0.0,0
node_0137,6261.0,9387.51,CBP,9,3921.51,0.0,0
node_0138,9374.0,17120.26,CBP,22,8150.26,0.0,0
node_0139,5028.0,6581.22,BP,3,635.22,0.0,0
node_0140,9552.0,7471.06,voter,0,2262.06,0.0,0
node_0141,7668.0,7140.0,voter,0,0.0,0.0,0
node_0142,8425.0,6407.0,voter,0,0.0,0.0,0
node_0143,1439.0,828.96,voter,0,438.96,0.0,0
node_0144,1580.0,661.0,voter,0,0.0,0.0,0
node_0145,5135.0,5235.0,voter,0,0.0,0.0,0
node_0146,2464.0,2738.82,voter,0,1127.82,0.0,0
node_0147,7834.0,10501.1,voter,0,4657.1,0.0,0
node_0148,7511.0,6206.01,voter,7,2120.01,0.0,1
node_0149,6341.0,8148.86,voter,0,1794.86,0.0,0
node_0150,2467.0,3442.42,voter,0,696.42,0.0,0
node_0151,1796.0,1868.44,voter,0,294.44,0.0,0
node_0152,2931.0,1198.96,voter,0,628.96,0.0,0
node_0153,872.0,536.23,voter,0,73.23,0.0,0
node_0154,7528.0,6424.83,BP,1,609.14,749.31,1
node_0155,8752.0,7289.0,voter,0,0.0,0.0,0
node_0156,7301.0,4726.39,voter,10,2870.39,0.0,0
node_0157,9026.0,10616.24,voter,1,2633.24,0.0,0
node_0158,7827.0,8715.03,voter,0,2846.03,0.0,0
node_0159,4593.0,4084.0,voter,0,0.0,0.0,0
node_0160,3969.0,2832.0,CBP,0,0.0,0.0,0
node_0161,4731.0,3986.0,voter,0,0.0,0.0,0
node_0162,5288.0,4289.85,CBP,0,205.85,0.0,0
node_0163,2317.0,2787.76,voter,0,917.76,0.0,0
node_0164,2553.0,2817.56,CBP,0,768.56,0.0,0
node_0165,6847.0,7704.28,voter,0,2065.28,0.0,0
node_0166,6862.0,7305.0,CBP,0,0.0,0.0,0
node_0167,6431.0,8148.81,voter,0,1921.81,0.0,0
node_0168,9482.0,12068.59,voter,3,3096.59,0.0,1
node_0169,5813.0,4752.92,voter,0,984.92,0.0,0
node_0170,6915.0,5960.69,BP,3,1495.69,0.0,0
node_0171,8049.0,12345.75,voter,11,4591.75,0.0,0
node_0172,8006.0,9175.77,CBP,0,146.77,0.0,0
node_0173,6674.0,5519.2,voter,0,241.2,0.0,0
node_0174,2141.0,3975.36,BP,2,954.36,0.0,0
node_0175,6505.0,8517.57,CBP,1,2089.57,0.0,0
node_0176,1425.0,2.0,voter,0,0.0,0.0,0
node_0177,7614.0,11117.39,voter,0,3064.39,0.0,0
node_0178,6261.0,6499.39,voter,0,262.39,0.0,0
node_0179,5405.0,8481.49,voter,10,2610.49,0.0,0
node_0180,4608.0,5857.32,voter,0,1840.32,0.0,0
node_0181,4183.0,1971.0,voter,0,0.0,0.0,0
node_0182,367.0,300.74,CBP,0,125.74,0.0,0
node_0183,5783.0,9531.38,voter,0,1425.38,0.0,0
node_0184,709.0,741.27,voter,0,118.27,0.0,0
node_0185,3316.0,5975.86,CBP,0,1115.86,0.0,0
node_0186,3958.0,3571.49,voter,0,153.49,0.0,0
node_0187,9290.0,11359.99,CBP,0,3776.99,0.0,0
node_0188,4248.0,7580.16,voter,10,3827.16,0.0,0
node_0189,9976.0,7472.3,voter,0,1330.3,0.0,0
node_0190,2733.0,1025.29,voter,0,100.29,0.0,0
node_0191,9531.0,11973.41,voter,0,2449.41,0.0,0
node_0192,9483.0,14560.16,voter,11,5544.16,0.0,0
node_0193,6548.0,7133.05,voter,1,1644.05,0.0,0
node_0194,1295.0,2052.0,voter,0,0.0,0.0,0
node_0195,1719.0,871.97,BP,2,308.97,0.0,0
node_0196,9887.0,10044.73,voter,0,412.73,0.0,0
node_0197,5738.0,5933.09,voter,0,1457.09,0.0,0
