Election_ID,Block_id,node,type,slashing_pct,cooldown_rounds,promoted_backup
1,block_0028,node_0020,PDDPoS,0,0,node_0459
1,block_0064,node_0494,PDDPoS,0,0,node_0086
1,block_0113,node_0049,PDDPoS,10,5,node_0046
1,block_0141,node_0192,PDDPoS,10,5,node_0498
1,block_0144,node_0077,PDDPoS,0,0,node_0120
1,block_0155,node_0209,PDDPoS,10,5,node_0010
1,block_0179,node_0463,PDDPoS,0,0,node_0406
1,block_0202,node_0103,PDDPoS,10,5,node_0370
1,block_0216,node_0442,PDDPoS,10,5,node_0031
1,block_0255,node_0333,PDDPoS,0,0,node_0271
1,block_0259,node_0500,PDDPoS,10,5,node_0097
1,block_0285,node_0271,PDDPoS,10,5,node_0173
1,block_0297,node_0352,PDDPoS,0,0,node_0157
2,block_0311,node_0100,PDDPoS,10,5,node_0138
2,block_0326,node_0107,PDDPoS,0,0,node_0067
2,block_0339,node_0052,PDDPoS,10,5,node_0457
2,block_0375,node_0161,PDDPoS,10,5,node_0365
2,block_0394,node_0461,PDDPoS,0,0,node_0034
2,block_0412,node_0270,PDDPoS,10,5,node_0239
2,block_0425,node_0302,PDDPoS,0,0,node_0370
2,block_0430,node_0343,PDDPoS,0,0,node_0482
2,block_0514,node_0034,PDDPoS,0,0,node_0168
2,block_0535,node_0080,PDDPoS,0,0,node_0456
2,block_0546,node_0133,PDDPoS,10,5,node_0046
2,block_0553,node_0093,PDDPoS,0,0,node_0422
2,block_0554,node_0114,PDDPoS,10,5,node_0312
2,block_0565,node_0456,PDDPoS,0,0,node_0201
2,block_0573,node_0401,PDDPoS,10,5,node_0371
3,block_0656,node_0322,PDDPoS,0,0,node_0356
3,block_0678,node_0472,PDDPoS,0,0,node_0238
3,block_0701,node_0007,PDDPoS,10,5,node_0461
3,block_0703,node_0036,PDDPoS,10,5,node_0045
3,block_0722,node_0261,PDDPoS,10,5,node_0001
3,block_0723,node_0439,PDDPoS,10,5,node_0199
3,block_0742,node_0330,PDDPoS,0,0,node_0219
3,block_0765,node_0373,PDDPoS,10,5,node_0421
3,block_0785,node_0486,PDDPoS,0,0,node_0237
3,block_0811,node_0104,PDDPoS,10,5,node_0387
3,block_0822,node_0327,PDDPoS,10,5,node_0384
3,block_0827,node_0170,PDDPoS,0,0,node_0185
3,block_0833,node_0358,PDDPoS,0,0,node_0121
3,block_0835,node_0107,PDDPoS,10,5,node_0292
3,block_0867,node_0166,PDDPoS,0,0,node_0030
3,block_0881,node_0461,PDDPoS,10,5,node_0124
3,block_0897,node_0030,PDDPoS,10,5,node_0260
1,block_0028,node_0496,DPoS,0,0,node_0201
1,block_0064,node_0403,DPoS,0,0,node_0020
1,block_0113,node_0494,DPoS,10,5,node_0049
1,block_0141,node_0352,DPoS,10,5,node_0077
1,block_0144,node_0459,DPoS,0,0,node_0046
1,block_0155,node_0039,DPoS,10,5,node_0010
1,block_0179,node_0067,DPoS,0,0,node_0406
1,block_0202,node_0486,DPoS,10,5,node_0370
1,block_0216,node_0336,DPoS,10,5,node_0031
1,block_0255,node_0209,DPoS,0,0,node_0271
1,block_0259,node_0425,DPoS,10,5,node_0097
1,block_0285,node_0271,DPoS,10,5,node_0173
1,block_0297,node_0479,DPoS,0,0,node_0157
2,block_0311,node_0307,DPoS,10,5,node_0409
2,block_0326,node_0270,DPoS,0,0,node_0457
2,block_0339,node_0461,DPoS,10,5,node_0239
2,block_0375,node_0282,DPoS,10,5,node_0067
2,block_0394,node_0100,DPoS,0,0,node_0365
2,block_0412,node_0424,DPoS,10,5,node_0482
2,block_0425,node_0084,DPoS,0,0,node_0046
2,block_0430,node_0302,DPoS,0,0,node_0168
2,block_0514,node_0365,DPoS,0,0,node_0370
2,block_0535,node_0080,DPoS,0,0,node_0034
2,block_0546,node_0443,DPoS,10,5,node_0149
2,block_0553,node_0093,DPoS,0,0,node_0422
2,block_0554,node_0435,DPoS,10,5,node_0221
2,block_0565,node_0034,DPoS,0,0,node_0312
2,block_0573,node_0386,DPoS,10,5,node_0135
3,block_0656,node_0138,DPoS,0,0,node_0461
3,block_0678,node_0484,DPoS,0,0,node_0166
3,block_0701,node_0107,DPoS,10,5,node_0096
3,block_0703,node_0261,DPoS,10,5,node_0001
3,block_0722,node_0007,DPoS,10,5,node_0238
3,block_0723,node_0439,DPoS,10,5,node_0219
3,block_0742,node_0123,DPoS,0,0,node_0045
3,block_0765,node_0495,DPoS,10,5,node_0387
3,block_0785,node_0036,DPoS,0,0,node_0237
3,block_0811,node_0104,DPoS,10,5,node_0384
3,block_0822,node_0280,DPoS,10,5,node_0421
3,block_0827,node_0486,DPoS,0,0,node_0121
3,block_0833,node_0277,DPoS,0,0,node_0172
3,block_0835,node_0330,DPoS,10,5,node_0259
3,block_0867,node_0440,DPoS,0,0,node_0118
3,block_0881,node_0096,DPoS,10,5,node_0129
3,block_0897,node_0118,DPoS,10,5,node_0185
