Election_ID,block_id,account_id,stake,event,Timestamp,remarks
1,,node_0459,28333,init,2026-07-26 00:34:54,CBP(backup) rank 1
1,,node_0086,28144,init,2026-07-26 00:34:54,CBP(backup) rank 2
1,,node_0046,28039,init,2026-07-26 00:34:54,CBP(backup) rank 3
1,,node_0498,27865,init,2026-07-26 00:34:54,CBP(backup) rank 4
1,,node_0120,27793,init,2026-07-26 00:34:54,CBP(backup) rank 5
1,,node_0010,27539,init,2026-07-26 00:34:54,CBP(backup) rank 6
1,,node_0406,26542,init,2026-07-26 00:34:54,CBP(backup) rank 7
1,,node_0370,26501,init,2026-07-26 00:34:54,CBP(backup) rank 8
1,,node_0031,26390,init,2026-07-26 00:34:54,CBP(backup) rank 9
1,,node_0271,26249,init,2026-07-26 00:34:54,CBP(backup) rank 10
1,,node_0097,26138,init,2026-07-26 00:34:54,CBP(backup) rank 11
1,,node_0173,24752,init,2026-07-26 00:34:54,CBP(backup) rank 12
1,,node_0157,24464,init,2026-07-26 00:34:54,CBP(backup) rank 13
1,,node_0059,24451,init,2026-07-26 00:34:54,CBP(backup) rank 14
1,,node_0397,24322,init,2026-07-26 00:34:54,CBP(backup) rank 15
1,,node_0326,23766,init,2026-07-26 00:34:54,CBP(backup) rank 16
1,,node_0258,23048,init,2026-07-26 00:34:54,CBP(backup) rank 17
1,,node_0228,22908,init,2026-07-26 00:34:54,CBP(backup) rank 18
1,,node_0094,22841,init,2026-07-26 00:34:54,CBP(backup) rank 19
1,,node_0400,22357,init,2026-07-26 00:34:54,CBP(backup) rank 20
1,,node_0266,22272,init,2026-07-26 00:34:54,CBP(backup) rank 21
1,,node_0297,21999,init,2026-07-26 00:34:54,CBP(backup) rank 22
1,,node_0367,21969,init,2026-07-26 00:34:54,CBP(backup) rank 23
1,,node_0393,21779,init,2026-07-26 00:34:54,CBP(backup) rank 24
1,,node_0185,21415,init,2026-07-26 00:34:54,CBP(backup) rank 25
1,,node_0484,21084,init,2026-07-26 00:34:54,CBP(backup) rank 26
1,,node_0022,20807,init,2026-07-26 00:34:54,CBP(backup) rank 27
1,,node_0190,20793,init,2026-07-26 00:34:54,CBP(backup) rank 28
1,,node_0026,20743,init,2026-07-26 00:34:54,CBP(backup) rank 29
1,,node_0468,20340,init,2026-07-26 00:34:54,CBP(backup) rank 30
1,,node_0312,20255,init,2026-07-26 00:34:54,CBP(backup) rank 31
1,,node_0314,19875,init,2026-07-26 00:34:54,CBP(backup) rank 32
1,,node_0206,19754,init,2026-07-26 00:34:54,CBP(backup) rank 33
1,,node_0461,19716,init,2026-07-26 00:34:54,CBP(backup) rank 34
1,,node_0179,19641,init,2026-07-26 00:34:54,CBP(backup) rank 35
1,,node_0478,19493,init,2026-07-26 00:34:54,CBP(backup) rank 36
1,,node_0047,18850,init,2026-07-26 00:34:54,CBP(backup) rank 37
1,,node_0390,18784,init,2026-07-26 00:34:54,CBP(backup) rank 38
1,,node_0083,18537,init,2026-07-26 00:34:54,CBP(backup) rank 39
